ts,open,high,low,close,volume,quote
1748779200000,104038.00,104144.10,103708.60,103917.10,3159.511,328369598.76390
1748782800000,103917.10,104393.10,103903.50,104216.00,4314.051,449600619.28020
1748786400000,104215.90,104731.20,104215.90,104551.60,5276.186,551661393.39900
1748790000000,104551.50,104760.00,104435.40,104664.00,4147.074,433893316.08450
1748793600000,104663.90,105285.00,104602.90,104984.40,10948.247,1149817656.81400
1748797200000,104984.40,105152.50,104936.20,105006.30,2559.460,268828225.12400
1748800800000,105006.20,105014.00,104280.10,104850.80,6993.433,731755583.03840
1748804400000,104850.80,105119.60,104757.80,105075.20,3531.986,370672578.81350
1748808000000,105075.20,105260.00,104833.10,104897.00,3880.377,407579329.86290
1748811600000,104897.00,105468.90,104854.40,105444.90,4078.485,429125683.95870
1748815200000,105444.90,105699.00,105363.00,105455.40,5303.983,559737298.52890
1748818800000,105455.50,105823.60,105400.30,105583.30,3860.969,407950895.68900
1748822400000,105583.30,105700.00,105351.80,105379.10,3928.600,414423568.46600
1748826000000,105379.20,105602.00,105290.40,105327.60,2559.541,269813209.55330
1748829600000,105327.70,105368.30,104958.20,104986.90,4857.765,510827265.45460
1748833200000,104986.90,105016.40,104520.00,104781.80,6268.235,656735734.10250
1748836800000,104781.80,104958.90,104650.10,104736.30,2587.764,271221625.05140
1748840400000,104736.40,104882.90,104549.80,104781.20,2970.213,311026857.29760
1748844000000,104781.20,105245.00,104695.50,105133.50,5697.801,598073813.90560
1748847600000,105133.40,105398.50,105123.30,105346.40,4120.675,433774755.31150
1748851200000,105346.40,105900.00,105190.50,105290.00,10502.437,1108674424.98870
1748854800000,105290.10,105296.50,104420.00,104530.50,13843.216,1450082089.37940
1748858400000,104530.40,104618.20,104188.80,104316.70,7442.889,776908621.68680
1748862000000,104316.70,104448.60,103867.80,104000.00,7703.417,802287239.73850
1748865600000,104000.10,104236.90,103805.00,104156.00,7867.251,818287294.00750
1748869200000,104156.00,104517.00,103642.00,103764.30,13009.860,1353405458.19980
