symbol,direction,entry,sl,tp1,rr,ev,score,regime,regime2,book,adx,atr,div_count,signal_age,mfe,mae,max_r,max_r_before_stop,exit_reason,pnl_r,weekday,hour,timestamp
BTC/USDT,Short,59850.0,60396.64983695937,59504.62931675717,1.1056414084687436,0.0,39.44,mud,,,8.810223262942232,215.85667702677304,0,0,0.0,0.0,0.0,0.0,OPEN,,0,16,2026-06-29T16:24:08.972310
BTC/USDT,Short,59830.6,60391.48843269114,59508.824307697614,1.0039562749179598,0.0,35.17,mud,,,9.88605503108855,201.1098076889894,0,0,0.0,0.0,0.0,0.0,OPEN,,0,17,2026-06-29T17:05:42.200936
BTC/USDT,Short,59880.2,60394.275281249975,59545.684428571534,1.1387481004268485,0.0,35.17,mud,,,8.610678581876348,209.07223214278875,0,0,0.0,0.0,0.0,0.0,OPEN,,0,17,2026-06-29T17:38:33.960432
ETH/USDT,Short,1572.97,1590.6287541159877,1562.3699811840563,1.050472349638006,0.0,35.06,mud,,,13.13176483510015,6.625011759964742,0,0,0.0,0.0,0.0,0.0,OPEN,,0,17,2026-06-29T17:38:45.095300
ETH/USDT,Short,1574.62,1590.6287541159877,1564.0199811840564,1.1587430722904049,0.0,34.24,mud,,,13.13176483510015,6.625011759964742,0,0,0.0,0.0,0.0,0.0,OPEN,,0,17,2026-06-29T17:43:28.016064
ETH/USDT,Short,1575.87,1590.5328788220204,1565.7082682421924,1.2127925758655815,0.0,35.06,mud,,,12.696328032170172,6.3510823486296815,0,0,0.0,0.0,0.0,0.0,OPEN,,0,17,2026-06-29T17:50:33.984704
ETH/USDT,Short,1575.35,1590.5586288220204,1565.070553956478,1.1828173852278383,0.0,34.75,mud,,,12.696328032170172,6.424653777201108,0,0,0.0,0.0,0.0,0.0,OPEN,,0,17,2026-06-29T17:56:11.695629
ETH/USDT,Short,1575.09,1590.5586288220204,1564.810553956478,1.1629363392930214,0.0,34.3,mud,,,12.696328032170172,6.424653777201108,0,0,0.0,0.0,0.0,0.0,OPEN,,0,17,2026-06-29T17:56:57.638436
BTC/USDT,Short,59949.7,60519.718144267565,59713.0,0.93333333333333,0.0,29.8,mud,,,9.648128969757977,190.00604808918948,0,0,0.0,0.0,0.0,0.0,OPEN,,0,19,2026-06-29T19:13:25.705988
ETH/USDT,Short,1573.47,1591.526343625437,1569.5,0.9333333333333442,0.0,41.11,mud,,,12.193286535276329,6.018781208479023,0,0,0.0,0.0,0.0,0.0,OPEN,,0,19,2026-06-29T19:13:32.258727
BTC/USDT,Short,59928.8,60498.81814426757,59713.0,0.93333333333333,0.0,29.8,mud,,,9.648128969757977,190.00604808918948,0,0,0.0,0.0,0.0,0.0,OPEN,,0,19,2026-06-29T19:14:29.251974
ETH/USDT,Short,1571.85,1588.99053336645,1569.5,0.9333333333333352,0.0,40.73,mud,,,11.718817137070902,5.713511122150003,0,0,0.0,0.0,0.0,0.0,OPEN,,0,19,2026-06-29T19:17:12.302256
BTC/USDT,Short,59508.1,60544.8990958917,58263.94108492996,0.9333333333333385,0.0,40.59,mud,,,13.62063216338168,345.5996986305677,0,0,0.0,0.0,0.0,0.0,OPEN,,0,21,2026-06-29T21:43:55.327710
BTC/USDT,Short,59533.1,60535.64099720748,58330.05080335102,0.933333333333332,0.0,39.92,mud,,,13.273723902945065,334.1803324024939,0,0,0.0,0.0,0.0,0.0,OPEN,,0,21,2026-06-29T21:45:58.938268
BTC/USDT,Short,59393.9,60434.56242577891,58145.10508906531,0.9333333333333385,0.0,41.52,mud,,,13.592332952744837,346.88747525963686,0,0,0.0,0.0,0.0,0.0,OPEN,,0,21,2026-06-29T21:55:00.880497
BTC/USDT,Short,59433.4,60441.49368108044,58223.68758270348,0.9333333333333362,0.0,39.92,mud,,,13.353093069246068,336.0312270268124,0,0,0.0,0.0,0.0,0.0,OPEN,,0,22,2026-06-29T22:04:44.661827
BTC/USDT,Short,59068.1,60144.82939536615,57776.024725560615,0.9333333333333323,0.0,42.35,mud,,,13.976127584246797,358.909798455384,0,0,0.0,0.0,0.0,0.0,OPEN,,0,22,2026-06-29T22:15:00.778383
ETH/USDT,Short,1559.51,1588.4581874055639,1524.7721751133233,0.9333333333333386,0.0,39.79,mud,,,12.550078766549628,9.649395801854666,0,0,0.0,0.0,0.0,0.0,OPEN,,0,22,2026-06-29T22:15:21.120776
