idx,symbol,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,sweep_count_20,bsl_dist_atr,ssl_dist_atr,is_bsl_swept,is_ssl_swept,ob_remaining
266,UNKNOWN,2025-06-04 06:15:00,2025-06-04,LIQUIDITY_SWEEP,Long,72.1989,72.1989,sweep_low;reclaim,38.7261,-0.7481,-0.63,0.0942,6,2,2,4.1299,0.3234,False,False,0.0726
267,UNKNOWN,2025-06-04 06:30:00,2025-06-04,LIQUIDITY_SWEEP,Long,70.5768,70.5768,sweep_low;reclaim,31.6358,-0.7999,-0.5791,0.4145,6,2,0,3.8017,1.032,False,False,0.2135
279,UNKNOWN,2025-06-04 09:30:00,2025-06-04,WEAK_BOS,Long,42.7082,42.7082,break_high,70.4292,-0.4806,-0.1923,0.8181,9,2,1,-0.4514,3.1641,False,False,0.0
280,UNKNOWN,2025-06-04 09:45:00,2025-06-04,WEAK_BOS,Long,48.6316,48.6316,break_high,75.7198,-0.27,1.2426,0.6541,9,2,1,-1.128,4.0272,True,False,0.0
281,UNKNOWN,2025-06-04 10:00:00,2025-06-04,WEAK_BOS,Long,42.1127,42.1127,break_high,76.8242,-0.0722,0.5412,0.4818,10,2,1,-0.2168,4.6707,False,False,0.0
284,UNKNOWN,2025-06-04 10:45:00,2025-06-04,FVG_TOUCH,Short,58.3185,58.3185,bearish_fvg_touch,66.2817,0.1291,-0.6741,0.5022,10,2,0,1.9744,2.807,False,False,0.5871
287,UNKNOWN,2025-06-04 11:30:00,2025-06-04,WEAK_BOS,Short,53.1244,53.1244,break_low,45.3084,-0.0251,1.6949,0.7048,11,2,0,4.1643,-0.097,False,False,0.0
288,UNKNOWN,2025-06-04 11:45:00,2025-06-04,WEAK_BOS,Short,53.8583,53.8583,break_low,36.5956,-0.158,1.1129,0.6266,11,2,0,4.9818,-0.3648,False,False,0.0
289,UNKNOWN,2025-06-04 12:00:00,2025-06-04,LIQUIDITY_SWEEP,Long,77.5769,77.5769,sweep_low;reclaim,40.8287,-0.2432,1.048,0.3107,12,2,0,4.4534,0.3437,False,False,0.0717
290,UNKNOWN,2025-06-04 12:15:00,2025-06-04,WEAK_BOS,Short,51.1547,51.1547,break_low,36.5599,-0.3553,0.5371,0.812,12,2,3,5.1248,-0.0582,False,False,0.0
291,UNKNOWN,2025-06-04 12:30:00,2025-06-04,LIQUIDITY_SWEEP,Long,78.2641,78.2641,sweep_low;reclaim,38.0128,-0.4468,1.2795,0.0218,12,2,2,4.9202,0.2367,False,False,0.0459
296,UNKNOWN,2025-06-04 13:45:00,2025-06-04,WEAK_BOS,Short,53.0031,53.0031,break_low,17.2851,-0.7377,1.7375,0.4978,13,2,1,5.3622,-0.0661,False,False,0.0
297,UNKNOWN,2025-06-04 14:00:00,2025-06-04,WEAK_BOS,Short,59.7581,59.7581,break_low,13.6258,-0.7585,4.816,0.4277,14,2,2,5.5841,-0.6263,False,True,0.0
310,UNKNOWN,2025-06-04 17:15:00,2025-06-04,ORDERBLOCK_REACTION,Short,58.2179,58.2179,impulse_pullback_zone,61.28,-0.277,-0.5474,0.8843,17,2,0,1.2604,3.868,False,False,0.7542
321,UNKNOWN,2025-06-04 20:00:00,2025-06-04,WEAK_BOS,Short,53.7659,53.7659,break_low,32.7763,-0.6594,-0.041,0.753,20,2,3,4.2048,-0.6276,False,True,0.0
