idx,symbol,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,sweep_count_20,bsl_dist_atr,ssl_dist_atr,is_bsl_swept,is_ssl_swept,ob_remaining,selection_policy
329,UNKNOWN,2025-06-04 22:00:00,2025-06-04,FVG_TOUCH,Long,61.5549,61.5549,bullish_fvg_touch,43.2713,-0.7367,-0.621,0.0179,22,2,0,2.6152,2.3933,False,False,0.4778,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
396,UNKNOWN,2025-06-05 14:45:00,2025-06-05,TREND_PULLBACK,Short,64.5314,64.5314,ema20_pullback;trend_stack,47.702,-0.0157,2.5841,0.0581,14,3,0,3.1582,1.8695,False,False,0.3718,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
479,UNKNOWN,2025-06-06 11:30:00,2025-06-06,FVG_TOUCH,Long,65.6358,65.6358,bullish_fvg_touch,75.9117,2.5453,-0.3577,0.0854,11,4,5,0.455,5.902,False,False,0.9284,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
581,UNKNOWN,2025-06-07 13:00:00,2025-06-07,FVG_TOUCH,Long,67.6765,67.6765,bullish_fvg_touch,74.4922,1.3972,-0.2395,0.0648,13,5,1,1.5596,4.2745,False,False,0.7327,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
649,UNKNOWN,2025-06-08 06:00:00,2025-06-08,TREND_PULLBACK,Long,67.601,67.601,ema20_pullback;trend_stack,50.0825,0.081,-0.4839,0.9325,6,6,0,2.8327,1.7056,False,False,0.3758,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
680,UNKNOWN,2025-06-08 13:45:00,2025-06-08,LIQUIDITY_SWEEP,Short,93.5524,93.5524,sweep_high;reclaim,66.0401,0.2589,7.1283,0.353,13,6,1,1.2713,2.9146,False,False,0.6963,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
761,UNKNOWN,2025-06-09 10:00:00,2025-06-09,FVG_TOUCH,Long,79.0,79.0,bullish_fvg_touch,87.6194,0.672,4.9144,0.7525,10,0,0,-1.1095,7.9086,True,False,0.0,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
873,UNKNOWN,2025-06-10 14:00:00,2025-06-10,FVG_TOUCH,Short,65.9712,65.9712,bearish_fvg_touch,45.9086,0.2224,0.3985,0.506,14,1,4,2.7612,0.832,False,False,0.2315,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
940,UNKNOWN,2025-06-11 06:45:00,2025-06-11,TREND_PULLBACK,Long,69.0654,69.0654,ema20_pullback;trend_stack,43.7714,0.0327,-0.3201,0.4641,6,2,0,1.7666,1.4312,False,False,0.4476,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
1024,UNKNOWN,2025-06-12 03:45:00,2025-06-12,FVG_TOUCH,Short,69.839,69.839,bearish_fvg_touch,31.5197,-1.2446,0.3407,0.717,3,3,5,3.7927,0.6725,False,False,0.1506,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_DIVERSITY_GUARD
