idx,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,sweep_count_20,bsl_dist_atr,ssl_dist_atr,is_bsl_swept,is_ssl_swept,ob_remaining,tier,regime,tier_weight,regime_factor,session_factor,win_prob_model,expected_rr_model,model_ev,liquidity_penalty,feature_bonus,decision_score,bucket_ev,gate_passed,gate_reason,gate_size_penalty,gate_liquidity_penalty,cluster_score,size_scale,selection_policy,opened_at,closed_at,entry_mode,entry,initial_sl,final_sl,tp1,tp2,tp3,exit_price,exit_reason,unit_raw_pnl_r,unit_pnl_r,cost_r,pnl_r,bars_held,entry_i,exit_i,tp1_real_touch,tp2_real_touch,tp3_real_touch,estimated_rr,expected_value,realized_ev,v56_5_stable,exit_policy,win_prob
262,2026-03-17 00:15:00,2026-03-17,LIQUIDITY_SWEEP,Short,82.4799,82.4799,sweep_high;reclaim,64.5762,1.0613,0.6247,0.4805,0,1,1,0.9792,3.0926,False,False,0.7595,1,trend,1.0,0.92,1.05,0.6108368762332622,1.82,0.6147614050764854,0.0,0.7499999999999996,85.2299,0.4485,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-17 00:30:00,2026-03-17 01:15:00,NEXT_BAR_OPEN_REALISTIC,75048.6,75369.83428571,75369.83428571,74727.36571429,74470.37828571,74149.144,75369.83428571,SL,-1.0,-1.07,0.07,-1.07,3,263,266,False,False,False,1.0,0.614761,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6108368762332622
267,2026-03-17 01:30:00,2026-03-17,LIQUIDITY_SWEEP,Short,79.7328,79.7328,sweep_high;reclaim,61.9228,1.283,0.203,0.4969,1,1,0,0.8,3.8482,False,False,0.8279,1,trend,1.0,0.92,1.05,0.5920405650203981,1.82,0.5629189231940606,0.0,0.7499999999999996,82.4828,0.5629189231940606,True,STRUCTURE_OVERRIDE,1.0,0.0,0.7,0.86,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-17 01:45:00,2026-03-17 03:30:00,NEXT_BAR_OPEN_REALISTIC,75635.2,75988.01142857,75458.79428571,75282.38857143,75000.13942857,74647.328,74647.328,TP3,1.82,1.75,0.07,1.505,7,268,275,True,True,True,2.8,0.562919,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5920405650203981
357,2026-03-18 00:00:00,2026-03-18,LIQUIDITY_SWEEP,Long,80.2416,80.2416,sweep_low;reclaim,34.3504,-0.0095,-0.4046,0.3066,0,2,2,3.4615,0.5212,False,False,0.1309,1,range,1.0,1.08,1.05,0.604289879006713,1.82,0.7814716744910881,0.0,0.7499999999999996,82.9916,0.1386,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-18 00:15:00,2026-03-18 01:45:00,NEXT_BAR_OPEN_REALISTIC,73953.5,73763.18,73982.048,74143.82,74296.076,74486.396,73982.048,BE_AFTER_TP1,0.35,0.28,0.07,0.28,6,358,364,True,False,False,0.15,0.781472,0.28,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.604289879006713
371,2026-03-18 03:30:00,2026-03-18,LIQUIDITY_SWEEP,Short,80.3117,80.3117,sweep_high;reclaim,65.3456,0.0067,-0.462,0.1352,3,2,0,0.6361,4.3863,False,False,0.8733,1,range,1.0,1.08,1.05,0.5946528281842329,1.82,0.7519449072171076,0.0,0.7499999999999996,83.0617,0.1386,True,STRUCTURE_OVERRIDE,1.0,0.0,0.35,0.93,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-18 03:45:00,2026-03-18 05:45:00,NEXT_BAR_OPEN_REALISTIC,74449.2,74635.32275,74356.138625,74263.07725,74114.17905,73928.0563,73928.0563,TP3,1.82,1.75,0.07,1.6275,8,372,380,True,True,True,2.8,0.751945,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5946528281842329
461,2026-03-19 02:00:00,2026-03-19,LIQUIDITY_SWEEP,Long,82.8464,82.8464,sweep_low;reclaim,56.4287,-2.0713,-0.4638,0.2105,2,3,1,1.619,1.3743,False,False,0.4591,1,trend,1.0,0.92,1.05,0.6023289410959892,1.82,0.59129549901567,0.0,0.7499999999999996,85.5964,0.4485,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-19 02:15:00,2026-03-19 03:30:00,NEXT_BAR_OPEN_REALISTIC,71147.0,70969.1325,71235.93375,71324.8675,71467.1615,71645.029,71235.93375,BE_AFTER_TP1,0.98,0.91,0.07,0.91,5,462,467,True,True,False,0.5,0.591295,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6023289410959892
530,2026-03-19 19:15:00,2026-03-19,LIQUIDITY_SWEEP,Short,81.9314,81.9314,sweep_high;reclaim,68.9086,-0.4686,0.8297,0.1967,19,3,3,0.7373,4.0149,False,False,0.8448,1,mixed,1.0,1.02,1.05,0.609284158276016,1.82,0.726913025270792,0.0,0.7499999999999996,84.6814,0.6925,True,STRUCTURE_OVERRIDE,1.0,0.0,0.35,0.93,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-19 19:30:00,2026-03-19 20:30:00,NEXT_BAR_OPEN_REALISTIC,70243.1,70540.60857143,70540.60857143,69945.59142857,69707.58457143,69410.076,70540.60857143,SL,-1.0,-1.07,0.07,-0.9951,4,531,535,False,False,False,1.0,0.726913,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.609284158276016
563,2026-03-20 03:30:00,2026-03-20,LIQUIDITY_SWEEP,Short,82.4731,82.4731,sweep_high;reclaim,68.9718,0.5782,0.0303,0.2496,3,4,3,0.2982,4.2787,False,False,0.9349,1,mixed,1.0,1.02,1.05,0.6108178290020237,1.82,0.7314361576493489,0.0,0.7499999999999996,85.2231,0.6925,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-20 03:45:00,2026-03-20 04:30:00,NEXT_BAR_OPEN_REALISTIC,70574.0,70750.435,70750.435,70397.565,70256.417,70079.982,70750.435,SL,-1.0,-1.07,0.07,-1.07,3,564,567,False,False,False,1.0,0.731436,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6108178290020237
635,2026-03-20 21:30:00,2026-03-20,LIQUIDITY_SWEEP,Short,83.333,83.333,sweep_high;reclaim,62.2715,-0.1988,0.2123,0.2468,21,4,3,0.6164,3.6421,False,False,0.8553,1,range,1.0,1.08,1.05,0.613186497190741,1.82,0.8087298450127678,0.0,0.7499999999999996,86.083,0.1386,True,STRUCTURE_OVERRIDE,1.0,0.0,0.5,0.9,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-20 21:45:00,2026-03-20 22:30:00,NEXT_BAR_OPEN_REALISTIC,70376.3,70601.72857143,70601.72857143,70150.87142857,69970.52857143,69745.1,70601.72857143,SL,-1.0,-1.07,0.07,-0.963,3,636,639,False,False,False,1.0,0.80873,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.613186497190741
739,2026-03-21 23:30:00,2026-03-21,LIQUIDITY_SWEEP,Long,79.6604,79.6604,sweep_low;reclaim,25.36,-1.1688,0.0365,0.3913,23,5,0,3.912,0.4706,False,False,0.1074,1,trend,1.0,0.92,1.05,0.5917877993825469,1.82,0.5622217652329902,0.0,0.7499999999999996,82.4104,0.5622217652329902,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-21 23:45:00,2026-03-22 00:30:00,NEXT_BAR_OPEN_REALISTIC,70125.6,69950.286,69950.286,70300.914,70441.1652,70616.4792,69950.286,SL,-1.0,-1.07,0.07,-1.07,3,740,743,False,False,False,1.0,0.562222,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5917877993825469
819,2026-03-22 19:30:00,2026-03-22,LIQUIDITY_SWEEP,Long,81.9706,81.9706,sweep_low;reclaim,34.0887,-1.0427,-0.1521,0.5257,19,6,2,3.8886,0.6899,False,False,0.1507,1,trend,1.0,0.92,1.05,0.6093962283838866,1.82,0.6107879254301656,0.0,0.7499999999999996,84.7206,0.4485,True,STRUCTURE_OVERRIDE,1.0,0.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2026-03-22 19:45:00,2026-03-22 20:30:00,NEXT_BAR_OPEN_REALISTIC,68355.8,68184.9105,68184.9105,68526.6895,68663.4011,68834.2906,68184.9105,SL,-1.0,-1.07,0.07,-1.07,3,820,823,False,False,False,1.0,0.610788,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6093962283838866
