ts,symbol,channel,msg_type,direction,score,ev,price,msg_preview,status,reason
2026-06-29 17:50:30,BTC/USDT,telegram,observer,,40.27,-0.1418,60024.9,observer|symbol=BTC/USDT|score=40.3/13.6,sent,
2026-06-29 17:50:32,ETH/USDT,telegram,observer,,16.08,-0.3326,1575.87,observer|symbol=ETH/USDT|score=16.1/35.1,sent,
2026-06-29 17:50:33,ETH/USDT,telegram,strategy_approved,Short,35.06,-0.1684,1575.87,Telegram 已发送,sent,
2026-06-29 17:53:47,BTC/USDT,telegram,observer,,39.45,-0.1554,59950.7,observer|symbol=BTC/USDT|score=39.5/12.7,sent,
2026-06-29 17:53:51,ETH/USDT,telegram,observer,,15.26,-0.3446,1574.0,observer|symbol=ETH/USDT|score=15.3/34.2,sent,
2026-06-29 17:54:25,ETH/USDT,telegram,observer,,15.26,-0.3446,1574.58,observer|symbol=ETH/USDT|score=15.3/34.2,sent,
2026-06-29 17:56:09,ETH/USDT,telegram,observer,,15.76,-0.3373,1575.35,observer|symbol=ETH/USDT|score=15.8/34.8,sent,
2026-06-29 17:56:11,ETH/USDT,telegram,strategy_approved,Short,34.75,-0.1735,1575.35,Telegram 已发送,sent,
2026-06-29 17:56:52,BTC/USDT,telegram,observer,,40.27,-0.1418,60029.2,observer|symbol=BTC/USDT|score=40.3/13.6,sent,
2026-06-29 17:56:55,ETH/USDT,telegram,observer,,15.31,-0.3438,1575.09,observer|symbol=ETH/USDT|score=15.3/34.3,sent,
2026-06-29 17:56:57,ETH/USDT,telegram,strategy_approved,Short,34.3,-0.1808,1575.09,Telegram 已发送,sent,
2026-06-29 18:05:09,BTC/USDT,telegram,observer,,40.27,-0.1418,60124.4,observer|symbol=BTC/USDT|score=40.3/13.6,sent,
2026-06-29 18:05:13,ETH/USDT,telegram,observer,,39.34,-0.1571,1578.16,observer|symbol=ETH/USDT|score=39.3/12.6,sent,
2026-06-29 18:15:12,BTC/USDT,telegram,observer,,41.93,-0.1142,60204.7,observer|symbol=BTC/USDT|score=41.9/13.6,sent,
2026-06-29 18:15:16,ETH/USDT,telegram,observer,,41.1,-0.128,1583.36,observer|symbol=ETH/USDT|score=41.1/12.6,sent,
2026-06-29 18:28:32,BTC/USDT,telegram,observer,,41.1,-0.128,60168.1,observer|symbol=BTC/USDT|score=41.1/12.7,sent,
2026-06-29 18:28:36,ETH/USDT,telegram,observer,,41.1,-0.128,1580.67,observer|symbol=ETH/USDT|score=41.1/12.6,sent,
2026-06-29 18:42:24,BTC/USDT,telegram,observer,,36.96,-0.1793,60085.3,observer|symbol=BTC/USDT|score=37.0/14.8,sent,
2026-06-29 18:42:30,ETH/USDT,telegram,observer,,30.01,-0.2274,1578.46,observer|symbol=ETH/USDT|score=30.0/22.6,sent,
2026-06-29 18:45:36,BTC/USDT,telegram,observer,,36.96,-0.1793,60115.4,observer|symbol=BTC/USDT|score=37.0/16.6,sent,
2026-06-29 18:45:41,ETH/USDT,telegram,observer,,36.47,-0.1872,1578.68,observer|symbol=ETH/USDT|score=36.5/17.9,sent,
2026-06-29 19:13:23,BTC/USDT,telegram,observer,,21.98,-0.3036,59949.7,observer|symbol=BTC/USDT|score=22.0/29.8,sent,
2026-06-29 19:13:25,BTC/USDT,telegram,strategy_approved,Short,29.8,-0.1898,59949.7,Telegram 已发送,sent,
2026-06-29 19:13:31,ETH/USDT,telegram,observer,,14.03,-0.3553,1573.47,observer|symbol=ETH/USDT|score=14.0/41.1,sent,
2026-06-29 19:13:32,ETH/USDT,telegram,strategy_approved,Short,41.11,-0.0844,1573.47,Telegram 已发送,sent,
2026-06-29 19:14:27,BTC/USDT,telegram,observer,,21.98,-0.3036,59928.8,observer|symbol=BTC/USDT|score=22.0/29.8,sent,
2026-06-29 19:14:29,BTC/USDT,telegram,strategy_approved,Short,29.8,-0.1898,59928.8,Telegram 已发送,sent,
2026-06-29 19:17:11,ETH/USDT,telegram,observer,,13.65,-0.3607,1571.85,observer|symbol=ETH/USDT|score=13.7/40.7,sent,
2026-06-29 19:17:12,ETH/USDT,telegram,strategy_approved,Short,40.73,-0.0909,1571.85,Telegram 已发送,sent,
2026-06-29 19:51:22,BTC/USDT,telegram,observer,,21.15,-0.3159,59818.2,observer|symbol=BTC/USDT|score=21.1/27.2,sent,
2026-06-29 19:51:26,ETH/USDT,telegram,observer,,25.19,-0.2624,1571.6,observer|symbol=ETH/USDT|score=25.2/25.7,sent,
2026-06-29 19:52:41,BTC/USDT,telegram,observer,,21.76,-0.3069,59794.7,observer|symbol=BTC/USDT|score=21.8/27.8,sent,
2026-06-29 20:03:11,BTC/USDT,telegram,observer,,30.34,-0.2466,60013.8,observer|symbol=BTC/USDT|score=30.3/22.9,sent,
2026-06-29 20:03:16,ETH/USDT,telegram,observer,,32.12,-0.2188,1577.2,observer|symbol=ETH/USDT|score=32.1/24.7,sent,
2026-06-29 20:06:54,BTC/USDT,telegram,observer,,41.21,-0.1521,60477.7,observer|symbol=BTC/USDT|score=41.2/14.5,sent,
2026-06-29 20:06:58,ETH/USDT,telegram,observer,,42.48,-0.1336,1583.99,observer|symbol=ETH/USDT|score=42.5/15.8,sent,
2026-06-29 20:13:29,BTC/USDT,telegram,observer,,41.21,-0.1521,60708.3,observer|symbol=BTC/USDT|score=41.2/14.5,sent,
2026-06-29 20:13:33,ETH/USDT,telegram,observer,,42.48,-0.1336,1593.38,observer|symbol=ETH/USDT|score=42.5/15.8,sent,
2026-06-29 20:21:29,BTC/USDT,telegram,observer,,39.72,-0.1509,60611.1,observer|symbol=BTC/USDT|score=39.7/11.2,sent,
2026-06-29 20:21:33,ETH/USDT,telegram,observer,,41.34,-0.124,1591.97,observer|symbol=ETH/USDT|score=41.3/12.9,sent,
2026-06-29 21:23:05,BTC/USDT,telegram,observer,,40.62,-0.136,60116.2,observer|symbol=BTC/USDT|score=40.6/12.1,sent,
2026-06-29 21:23:13,ETH/USDT,telegram,observer,,38.73,-0.1672,1579.63,observer|symbol=ETH/USDT|score=38.7/12.0,sent,
2026-06-29 21:43:50,BTC/USDT,telegram,observer,,15.26,-0.36,59508.1,observer|symbol=BTC/USDT|score=15.3/40.6,sent,
2026-06-29 21:43:55,BTC/USDT,telegram,strategy_approved,Short,40.59,-0.1197,59508.1,Telegram 已发送,sent,
2026-06-29 21:44:01,ETH/USDT,telegram,observer,,24.36,-0.2913,1566.24,observer|symbol=ETH/USDT|score=24.4/30.4,sent,
