idx,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,tier,regime,tier_weight,regime_factor,session_factor,win_prob_model,expected_rr_model,model_ev,decision_score,bucket_ev,gate_passed,gate_reason,gate_size_penalty,cluster_score,size_scale,selection_policy,opened_at,closed_at,entry_mode,entry,initial_sl,final_sl,tp1,tp2,tp3,exit_price,exit_reason,unit_raw_pnl_r,unit_pnl_r,cost_r,pnl_r,bars_held,entry_i,exit_i,tp1_real_touch,tp2_real_touch,tp3_real_touch,estimated_rr,expected_value,realized_ev,v56_5_stable,exit_policy,win_prob
410,2025-06-05 18:15:00,2025-06-05,LIQUIDITY_SWEEP,Long,77.7175,77.7175,sweep_low;reclaim,32.282,-1.172,1.2639,0.7771,18,3,1,trend,1.0,0.92,1.05,0.5728166258267521,1.82,0.5098969920252818,79.7175,0.7612,True,QUALITY_GATE_V565_PASSED,0.8,0.0,0.8,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-05 18:30:00,2025-06-05 19:15:00,NEXT_BAR_OPEN_REALISTIC,103227.9,102902.16285714,102902.16285714,103553.63714286,103814.22685714,104139.964,102902.16285714,SL,-1.0,-1.07,0.07,-0.856,3,411,414,False,False,False,1.0,0.509897,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5728166258267521
530,2025-06-07 00:15:00,2025-06-07,LIQUIDITY_SWEEP,Long,80.5787,80.5787,sweep_low;reclaim,39.8614,0.5493,0.4855,0.2282,0,5,1,mixed,1.0,1.02,1.05,0.6053118701028757,1.82,0.7151978735448028,82.5787,0.7348,True,QUALITY_GATE_V565_PASSED,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-07 00:30:00,2025-06-07 03:45:00,NEXT_BAR_OPEN_REALISTIC,104125.4,103865.0865,104255.55675,104385.7135,104593.9643,104854.2778,104854.2778,TP3,1.82,1.75,0.07,1.75,13,531,544,True,True,True,2.8,0.715198,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6053118701028757
603,2025-06-07 18:30:00,2025-06-07,LIQUIDITY_SWEEP,Short,80.1741,80.1741,sweep_high;reclaim,59.3917,1.3605,2.2605,0.4879,18,5,1,trend,1.0,0.92,1.05,0.5935678589978747,1.82,0.5671313832592182,82.1741,0.7429,True,QUALITY_GATE_V565_PASSED,1.0,0.35,0.93,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-07 18:45:00,2025-06-07 20:15:00,NEXT_BAR_OPEN_REALISTIC,105582.4,105846.356,105846.356,105318.444,105107.2792,104843.3232,105846.356,SL,-1.0,-1.07,0.07,-0.9951,6,604,610,False,False,False,1.0,0.567131,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5935678589978747
629,2025-06-08 01:00:00,2025-06-08,LIQUIDITY_SWEEP,Long,74.2363,74.2363,sweep_low;reclaim,31.643,0.6751,-0.0938,0.2891,1,6,1,mixed,1.0,1.02,1.05,0.5838704509967788,1.82,0.6519624114887201,76.2363,0.6068,True,QUALITY_GATE_V565_PASSED,0.6,0.0,0.6,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-08 01:15:00,2025-06-08 02:00:00,NEXT_BAR_OPEN_REALISTIC,105485.4,105221.68675,105524.9569875,105749.11325,105960.08385,106223.7971,105524.9569875,BE_AFTER_TP1,0.35,0.28,0.07,0.168,3,630,633,True,False,False,0.15,0.651962,0.28,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5838704509967788
807,2025-06-09 21:30:00,2025-06-09,LIQUIDITY_SWEEP,Short,80.6564,80.6564,sweep_high;reclaim,70.0771,2.0246,2.8944,0.8052,21,0,1,trend,1.0,0.92,1.05,0.5843205285783378,1.82,0.5416261362824852,82.6564,0.7429,True,QUALITY_GATE_V565_PASSED,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-09 21:45:00,2025-06-09 22:30:00,NEXT_BAR_OPEN_REALISTIC,109865.4,110173.57714286,110173.57714286,109557.22285714,109310.68114286,109002.504,110173.57714286,SL,-1.0,-1.07,0.07,-1.07,3,808,811,False,False,False,1.0,0.541626,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5843205285783378
895,2025-06-10 19:30:00,2025-06-10,LIQUIDITY_SWEEP,Short,78.7639,78.7639,sweep_high;reclaim,69.9009,0.0527,1.5727,0.1081,19,1,1,range,1.0,1.08,1.05,0.589252872970644,1.82,0.735400092437297,80.7639,0.9206,True,QUALITY_GATE_V565_PASSED,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-10 19:45:00,2025-06-10 20:45:00,NEXT_BAR_OPEN_REALISTIC,109941.8,110216.6545,109804.37275,109666.9455,109447.0619,109172.2074,109804.37275,BE_AFTER_TP1,0.98,0.91,0.07,0.91,4,896,900,True,True,False,0.5,0.7354,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.589252872970644
987,2025-06-11 18:30:00,2025-06-11,LIQUIDITY_SWEEP,Long,77.5132,77.5132,sweep_low;reclaim,31.2188,-0.4528,1.0597,0.6184,18,2,1,mixed,1.0,1.02,1.05,0.5955372429518946,1.82,0.6863703476585865,79.5132,0.6068,True,QUALITY_GATE_V565_PASSED,0.8,0.0,0.8,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-11 18:45:00,2025-06-11 20:00:00,NEXT_BAR_OPEN_REALISTIC,108765.9,108493.9855,108493.9855,109037.8145,109255.3461,109527.2606,108493.9855,SL,-1.0,-1.07,0.07,-0.856,5,988,993,False,False,False,1.0,0.68637,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5955372429518946
1107,2025-06-13 00:30:00,2025-06-13,LIQUIDITY_SWEEP,Long,80.9637,80.9637,sweep_low;reclaim,23.9735,-1.5861,2.4441,0.1986,0,4,1,trend,1.0,0.92,1.05,0.5962433384247529,1.82,0.5745106765760795,82.9637,0.7429,True,QUALITY_GATE_V565_PASSED,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-13 00:45:00,2025-06-13 01:30:00,NEXT_BAR_OPEN_REALISTIC,103850.2,103422.81714286,103422.81714286,104277.58285714,104619.48914286,105046.872,103422.81714286,SL,-1.0,-1.07,0.07,-1.07,3,1108,1111,False,False,False,1.0,0.574511,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5962433384247529
1204,2025-06-14 00:45:00,2025-06-14,LIQUIDITY_SWEEP,Short,75.2532,75.2532,sweep_high;reclaim,59.0208,1.1302,0.0223,0.2686,0,5,1,trend,1.0,0.92,1.05,0.5876271437171774,1.82,0.5507461776292213,77.2532,0.7612,True,QUALITY_GATE_V565_PASSED,0.8,0.0,0.8,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-14 01:00:00,2025-06-14 07:00:00,NEXT_BAR_OPEN_REALISTIC,105756.2,106020.59075,105624.004625,105491.80925,105280.29665,105015.9059,105015.9059,TP3,1.82,1.75,0.07,1.4,24,1205,1229,True,True,True,2.8,0.550746,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5876271437171774
1301,2025-06-15 01:00:00,2025-06-15,LIQUIDITY_SWEEP,Short,72.4955,72.4955,sweep_high;reclaim,68.2368,1.1735,0.2923,0.4598,1,6,1,trend,1.0,0.92,1.05,0.5637096088511575,1.82,0.4847787463645547,74.4955,0.7612,True,QUALITY_GATE_V565_PASSED,0.6,0.0,0.6,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-15 01:15:00,2025-06-15 05:30:00,NEXT_BAR_OPEN_REALISTIC,105509.5,105773.27375,105773.27375,105245.72625,105034.70725,104770.9335,105773.27375,SL,-1.0,-1.07,0.07,-0.642,17,1302,1319,False,False,False,1.0,0.484779,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.5637096088511575
