idx,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,tier,regime,tier_weight,regime_factor,session_factor,win_prob_model,expected_rr_model,model_ev,decision_score,gate_passed,gate_reason,gate_size_penalty,cluster_score,size_scale,selection_policy,opened_at,closed_at,entry_mode,entry,initial_sl,final_sl,tp1,tp2,tp3,exit_price,exit_reason,unit_raw_pnl_r,unit_pnl_r,cost_r,pnl_r,bars_held,entry_i,exit_i,tp1_real_touch,tp2_real_touch,tp3_real_touch,estimated_rr,expected_value,realized_ev,v56_5_stable,exit_policy,win_prob
291,2025-06-04 12:30:00,2025-06-04,LIQUIDITY_SWEEP,Long,83.2641,83.2641,sweep_low;reclaim,38.0128,-0.4468,1.2795,0.0218,12,2,1,mixed,1.0,1.02,1.05,0.6041753915329898,1.82,0.7118461482169245,85.2641,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-04 12:45:00,2025-06-04 13:45:00,NEXT_BAR_OPEN_REALISTIC,104915.4,104653.1115,104954.743275,105177.6885,105387.5193,105649.8078,104954.743275,BE_AFTER_TP1,0.35,0.28,0.07,0.28,4,292,296,True,False,False,0.15,0.711846,0.28,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6041753915329898
394,2025-06-05 14:15:00,2025-06-05,LIQUIDITY_SWEEP,Long,88.4147,88.4147,sweep_low;reclaim,43.2477,0.0825,3.7187,0.0167,14,3,1,range,1.0,1.08,1.05,0.6184443473216815,1.82,0.8248392668719537,90.4147,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-05 14:30:00,2025-06-05 15:15:00,NEXT_BAR_OPEN_REALISTIC,104230.9,103959.16285714,104366.76857143,104502.63714286,104720.02685714,104991.764,104366.76857143,BE_AFTER_TP1,0.98,0.91,0.07,0.91,3,395,398,True,True,False,0.5,0.824839,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6184443473216815
483,2025-06-06 12:30:00,2025-06-06,LIQUIDITY_SWEEP,Short,94.8239,94.8239,sweep_high;reclaim,54.9163,1.931,2.156,0.1853,12,4,1,trend,1.0,0.92,1.05,0.6320970503083411,1.82,0.6733995163964419,96.8239,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-06 12:45:00,2025-06-06 13:30:00,NEXT_BAR_OPEN_REALISTIC,103650.4,103909.52575,103909.52575,103391.27425,103183.97365,102924.8479,103909.52575,SL,-1.0,-1.07,0.07,-1.07,3,484,487,False,False,False,1.0,0.6734,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6320970503083411
530,2025-06-07 00:15:00,2025-06-07,LIQUIDITY_SWEEP,Long,88.5787,88.5787,sweep_low;reclaim,39.8614,0.5493,0.4855,0.2282,0,5,1,mixed,1.0,1.02,1.05,0.6259681403178925,1.82,0.776117758788335,90.5787,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-07 00:30:00,2025-06-07 03:45:00,NEXT_BAR_OPEN_REALISTIC,104125.4,103865.0865,104255.55675,104385.7135,104593.9643,104854.2778,104854.2778,TP3,1.82,1.75,0.07,1.75,13,531,544,True,True,True,2.8,0.776118,1.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6259681403178925
680,2025-06-08 13:45:00,2025-06-08,LIQUIDITY_SWEEP,Short,98.5524,98.5524,sweep_high;reclaim,66.0401,0.2589,7.1283,0.353,13,6,1,range,1.0,1.08,1.05,0.6434566384552509,1.82,0.9014739254302742,100.5524,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-08 14:00:00,2025-06-08 15:00:00,NEXT_BAR_OPEN_REALISTIC,105558.9,105822.797,105822.797,105295.003,105083.8854,104819.9884,105822.797,SL,-1.0,-1.07,0.07,-1.07,4,681,685,False,False,False,1.0,0.901474,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6434566384552509
760,2025-06-09 09:45:00,2025-06-09,LIQUIDITY_SWEEP,Short,93.7044,93.7044,sweep_high;reclaim,83.499,0.4683,6.4497,0.029,9,0,1,mixed,1.0,1.02,1.05,0.6233459921928336,1.82,0.7683844670949487,95.7044,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-09 10:00:00,2025-06-09 10:45:00,NEXT_BAR_OPEN_REALISTIC,106562.0,106828.405,106828.405,106295.595,106082.471,105816.066,106828.405,SL,-1.0,-1.07,0.07,-1.07,3,761,764,False,False,False,1.0,0.768384,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6233459921928336
872,2025-06-10 13:45:00,2025-06-10,LIQUIDITY_SWEEP,Long,87.7692,87.7692,sweep_low;reclaim,47.8255,0.3298,2.5717,0.6245,13,1,1,range,1.0,1.08,1.05,0.6241747649887164,1.82,0.8423965789536285,89.7692,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-10 14:00:00,2025-06-10 14:45:00,NEXT_BAR_OPEN_REALISTIC,109266.9,108993.73275,108993.73275,109540.06725,109758.60105,110031.7683,108993.73275,SL,-1.0,-1.07,0.07,-1.07,3,873,876,False,False,False,1.0,0.842397,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6241747649887164
961,2025-06-11 12:00:00,2025-06-11,LIQUIDITY_SWEEP,Long,86.9005,86.9005,sweep_low;reclaim,36.0933,-0.6349,1.5762,0.4212,12,2,1,mixed,1.0,1.02,1.05,0.6221798315006188,1.82,0.7649452026582553,88.9005,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-11 12:15:00,2025-06-11 13:30:00,NEXT_BAR_OPEN_REALISTIC,109340.1,109066.7495,109476.77525,109613.4505,109832.1309,110105.4814,109476.77525,BE_AFTER_TP1,0.98,0.91,0.07,0.91,5,962,967,True,True,False,0.5,0.764945,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6221798315006188
1063,2025-06-12 13:30:00,2025-06-12,LIQUIDITY_SWEEP,Long,90.5601,90.5601,sweep_low;reclaim,44.253,-1.5332,2.9751,0.5293,13,3,1,trend,1.0,0.92,1.05,0.6231526334317165,1.82,0.6487297413206858,92.5601,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-12 13:45:00,2025-06-12 15:15:00,NEXT_BAR_OPEN_REALISTIC,107077.7,106810.006,107211.547,107345.394,107559.5492,107827.2432,107211.547,BE_AFTER_TP1,0.98,0.91,0.07,0.91,6,1064,1070,True,True,False,0.5,0.64873,0.91,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6231526334317165
1107,2025-06-13 00:30:00,2025-06-13,LIQUIDITY_SWEEP,Long,88.9637,88.9637,sweep_low;reclaim,23.9735,-1.5861,2.4441,0.1986,0,4,1,trend,1.0,0.92,1.05,0.6193580333403167,1.82,0.6382637789165946,90.9637,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-13 00:45:00,2025-06-13 01:30:00,NEXT_BAR_OPEN_REALISTIC,103850.2,103422.81714286,103422.81714286,104277.58285714,104619.48914286,105046.872,103422.81714286,SL,-1.0,-1.07,0.07,-1.07,3,1108,1111,False,False,False,1.0,0.638264,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6193580333403167
1230,2025-06-14 07:15:00,2025-06-14,LIQUIDITY_SWEEP,Long,86.6916,86.6916,sweep_low;reclaim,33.8067,-0.6104,-0.2281,0.2238,7,5,1,mixed,1.0,1.02,1.05,0.6216890384219509,1.82,0.763497745894786,88.6916,True,STRUCTURE_OVERRIDE,1.0,0.0,1.0,V56_5_DYNAMIC_TOPN__TIER1_SESSION_EDGE__CLUSTER_RISK_SCALING,2025-06-14 07:30:00,2025-06-14 12:30:00,NEXT_BAR_OPEN_REALISTIC,104940.8,104678.448,104678.448,105203.152,105413.0336,105675.3856,104678.448,SL,-1.0,-1.07,0.07,-1.07,20,1231,1251,False,False,False,1.0,0.763498,-0.5,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY,0.6216890384219509
