idx,symbol,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,sweep_count_20,bsl_dist_atr,ssl_dist_atr,is_bsl_swept,is_ssl_swept,ob_remaining,selection_policy,opened_at,closed_at,entry_mode,entry,sl,tp1,tp2,tp3,exit_price,exit_reason,raw_pnl_r,cost_r,pnl_r,bars_held,exit_i,tp1_real_touch,tp2_real_touch,tp3_real_touch,v56_production,exit_policy
291,UNKNOWN,2025-06-04 12:30:00,2025-06-04,LIQUIDITY_SWEEP,Long,78.2641,78.2641,sweep_low;reclaim,38.0128,-0.4468,1.2795,0.0218,12,2,2,4.9202,0.2367,False,False,0.0459,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-04 12:45:00,2025-06-04 13:30:00,NEXT_BAR_OPEN_REALISTIC,104915.4,104915.4,105138.345225,105295.718325,105492.4347,104915.4,BE_AFTER_TP1,0.2975,0.07,0.2275,3,295,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
394,UNKNOWN,2025-06-05 14:15:00,2025-06-05,LIQUIDITY_SWEEP,Long,83.4147,83.4147,sweep_low;reclaim,43.2477,0.0825,3.7187,0.0167,14,3,1,4.85,0.2667,False,False,0.0521,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-05 14:30:00,2025-06-05 15:00:00,NEXT_BAR_OPEN_REALISTIC,104230.9,104315.81785714,104519.62071429,104723.42357143,104978.17714286,104315.81785714,BE_AFTER_TP1,0.805,0.07,0.735,2,397,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
483,UNKNOWN,2025-06-06 12:30:00,2025-06-06,LIQUIDITY_SWEEP,Short,83.8239,83.8239,sweep_high;reclaim,54.9163,1.931,2.156,0.1853,12,4,1,1.6218,3.2208,False,False,0.6651,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-06 12:45:00,2025-06-06 13:00:00,NEXT_BAR_OPEN_REALISTIC,103650.4,103909.52575,103430.1431125,103274.6676625,103080.32335,103909.52575,SL,-1.0,0.07,-1.07,1,485,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
530,UNKNOWN,2025-06-07 00:15:00,2025-06-07,LIQUIDITY_SWEEP,Long,83.5787,83.5787,sweep_low;reclaim,39.8614,0.5493,0.4855,0.2282,0,5,1,2.5841,0.6634,False,False,0.2043,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-07 00:30:00,2025-06-07 03:00:00,NEXT_BAR_OPEN_REALISTIC,104125.4,104190.478375,104346.666475,104502.854575,104698.0897,104698.0897,TP3,1.465,0.07,1.395,10,541,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
680,UNKNOWN,2025-06-08 13:45:00,2025-06-08,LIQUIDITY_SWEEP,Short,93.5524,93.5524,sweep_high;reclaim,66.0401,0.2589,7.1283,0.353,13,6,1,1.2713,2.9146,False,False,0.6963,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-08 14:00:00,2025-06-08 14:15:00,NEXT_BAR_OPEN_REALISTIC,105558.9,105822.797,105334.58755,105176.24935,104978.3266,105822.797,SL,-1.0,0.07,-1.07,1,682,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
734,UNKNOWN,2025-06-09 03:15:00,2025-06-09,LIQUIDITY_SWEEP,Long,76.9884,76.9884,sweep_low;reclaim,38.362,-0.6143,0.6296,0.1801,3,0,2,3.3211,0.4298,False,False,0.1146,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-09 03:30:00,2025-06-09 04:45:00,NEXT_BAR_OPEN_REALISTIC,105431.9,105431.9,105655.942575,105814.090275,106011.7749,105431.9,BE_AFTER_TP1,0.2975,0.07,0.2275,5,740,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
872,UNKNOWN,2025-06-10 13:45:00,2025-06-10,LIQUIDITY_SWEEP,Long,82.7692,82.7692,sweep_low;reclaim,47.8255,0.3298,2.5717,0.6245,13,1,4,2.1479,1.3881,False,False,0.3926,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-10 14:00:00,2025-06-10 14:00:00,NEXT_BAR_OPEN_REALISTIC,109266.9,108993.73275,109499.0921625,109662.9925125,109867.86795,108993.73275,SL,-1.0,0.07,-1.07,0,873,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
961,UNKNOWN,2025-06-11 12:00:00,2025-06-11,LIQUIDITY_SWEEP,Long,81.9005,81.9005,sweep_low;reclaim,36.0933,-0.6349,1.5762,0.4212,12,2,4,2.591,1.4253,False,False,0.3549,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-11 12:15:00,2025-06-11 12:15:00,NEXT_BAR_OPEN_REALISTIC,109340.1,109066.7495,109572.447925,109736.458225,109941.4711,109066.7495,SL,-1.0,0.07,-1.07,0,962,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1090,UNKNOWN,2025-06-12 20:15:00,2025-06-12,LIQUIDITY_SWEEP,Long,79.7529,79.7529,sweep_low;reclaim,36.9675,-0.3262,1.134,0.7509,20,3,1,3.8734,1.2921,False,False,0.2501,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-12 20:30:00,2025-06-12 20:30:00,NEXT_BAR_OPEN_REALISTIC,106852.4,106453.27142857,107191.65928571,107431.13642857,107730.48285714,106453.27142857,SL,-1.0,0.07,-1.07,0,1091,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1163,UNKNOWN,2025-06-13 14:30:00,2025-06-13,LIQUIDITY_SWEEP,Long,77.3327,77.3327,sweep_low;reclaim,46.991,-0.2699,0.19,0.8033,14,4,0,1.7881,1.4611,False,False,0.4497,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-13 14:45:00,2025-06-13 15:00:00,NEXT_BAR_OPEN_REALISTIC,104620.0,104708.85357143,104922.10214286,105135.35071429,105401.91142857,105401.91142857,TP3,1.465,0.07,1.395,1,1165,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1263,UNKNOWN,2025-06-14 15:30:00,2025-06-14,LIQUIDITY_SWEEP,Long,77.6385,77.6385,sweep_low;reclaim,39.088,-0.7056,1.6852,0.5785,15,5,3,2.5462,0.2167,False,False,0.0784,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-14 15:45:00,2025-06-14 16:45:00,NEXT_BAR_OPEN_REALISTIC,104690.4,104428.67375,104912.8673125,105069.9030625,105266.19775,104428.67375,SL,-1.0,0.07,-1.07,4,1268,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1325,UNKNOWN,2025-06-15 07:00:00,2025-06-15,LIQUIDITY_SWEEP,Long,80.6396,80.6396,sweep_low;reclaim,45.9706,0.9919,0.8151,0.0405,7,6,1,4.6061,0.1556,False,False,0.0327,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-15 07:15:00,2025-06-15 08:45:00,NEXT_BAR_OPEN_REALISTIC,105380.0,105116.55,105603.9325,105762.0025,105959.59,105116.55,SL,-1.0,0.07,-1.07,6,1332,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1447,UNKNOWN,2025-06-16 13:30:00,2025-06-16,LIQUIDITY_SWEEP,Long,81.8523,81.8523,sweep_low;reclaim,35.1941,1.4474,1.3446,0.3673,13,0,0,2.8123,1.1042,False,False,0.2819,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-16 13:45:00,2025-06-16 14:00:00,NEXT_BAR_OPEN_REALISTIC,106714.9,106781.59525,106941.66385,107101.73245,107301.8182,106781.59525,BE_AFTER_TP1,0.805,0.07,0.735,1,1449,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1545,UNKNOWN,2025-06-17 14:00:00,2025-06-17,LIQUIDITY_SWEEP,Long,80.3506,80.3506,sweep_low;reclaim,47.5153,-1.8671,2.6865,0.4535,14,1,0,3.3965,1.6938,False,False,0.3327,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-17 14:15:00,2025-06-17 14:15:00,NEXT_BAR_OPEN_REALISTIC,105632.4,105342.16428571,105879.10035714,106053.24178571,106270.91857143,105342.16428571,SL,-1.0,0.07,-1.07,0,1546,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1661,UNKNOWN,2025-06-18 19:00:00,2025-06-18,LIQUIDITY_SWEEP,Long,81.9239,81.9239,sweep_low;reclaim,41.0859,-0.422,2.2443,0.7019,19,2,0,2.216,1.5851,False,False,0.417,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS_LIQUIDITY_SWEEP_ONLY,2025-06-18 19:15:00,2025-06-18 19:15:00,NEXT_BAR_OPEN_REALISTIC,104258.5,103788.5,104658.0,104940.0,105292.5,103788.5,SL,-1.0,0.07,-1.07,0,1662,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
