idx,symbol,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,sweep_count_20,bsl_dist_atr,ssl_dist_atr,is_bsl_swept,is_ssl_swept,ob_remaining,selection_policy,opened_at,closed_at,entry_mode,entry,sl,tp1,tp2,tp3,exit_price,exit_reason,raw_pnl_r,cost_r,pnl_r,bars_held,exit_i,tp1_real_touch,tp2_real_touch,tp3_real_touch,v56_production,exit_policy
291,UNKNOWN,2025-06-04 12:30:00,2025-06-04,LIQUIDITY_SWEEP,Long,83.2641,83.2641,sweep_low;reclaim,38.0128,-0.4468,1.2795,0.0218,12,2,2,4.9202,0.2367,False,False,0.0459,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-04 12:45:00,2025-06-04 13:30:00,NEXT_BAR_OPEN_REALISTIC,104915.4,104915.4,105138.345225,105295.718325,105492.4347,104915.4,BE_AFTER_TP1,0.2975,0.07,0.2275,3,295,True,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
394,UNKNOWN,2025-06-05 14:15:00,2025-06-05,LIQUIDITY_SWEEP,Long,88.4147,88.4147,sweep_low;reclaim,43.2477,0.0825,3.7187,0.0167,14,3,1,4.85,0.2667,False,False,0.0521,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-05 14:30:00,2025-06-05 15:00:00,NEXT_BAR_OPEN_REALISTIC,104230.9,104315.81785714,104519.62071429,104723.42357143,104978.17714286,104315.81785714,BE_AFTER_TP1,0.805,0.07,0.735,2,397,True,True,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
483,UNKNOWN,2025-06-06 12:30:00,2025-06-06,LIQUIDITY_SWEEP,Short,94.8239,94.8239,sweep_high;reclaim,54.9163,1.931,2.156,0.1853,12,4,1,1.6218,3.2208,False,False,0.6651,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-06 12:45:00,2025-06-06 13:00:00,NEXT_BAR_OPEN_REALISTIC,103650.4,103909.52575,103430.1431125,103274.6676625,103080.32335,103909.52575,SL,-1.0,0.07,-1.07,1,485,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
530,UNKNOWN,2025-06-07 00:15:00,2025-06-07,LIQUIDITY_SWEEP,Long,88.5787,88.5787,sweep_low;reclaim,39.8614,0.5493,0.4855,0.2282,0,5,1,2.5841,0.6634,False,False,0.2043,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-07 00:30:00,2025-06-07 03:00:00,NEXT_BAR_OPEN_REALISTIC,104125.4,104190.478375,104346.666475,104502.854575,104698.0897,104698.0897,TP3,1.465,0.07,1.395,10,541,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
680,UNKNOWN,2025-06-08 13:45:00,2025-06-08,LIQUIDITY_SWEEP,Short,98.5524,98.5524,sweep_high;reclaim,66.0401,0.2589,7.1283,0.353,13,6,1,1.2713,2.9146,False,False,0.6963,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-08 14:00:00,2025-06-08 14:15:00,NEXT_BAR_OPEN_REALISTIC,105558.9,105822.797,105334.58755,105176.24935,104978.3266,105822.797,SL,-1.0,0.07,-1.07,1,682,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
760,UNKNOWN,2025-06-09 09:45:00,2025-06-09,LIQUIDITY_SWEEP,Short,93.7044,93.7044,sweep_high;reclaim,83.499,0.4683,6.4497,0.029,9,0,0,0.1141,6.8819,False,False,0.9837,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-09 10:00:00,2025-06-09 10:00:00,NEXT_BAR_OPEN_REALISTIC,106562.0,106828.405,106335.55575,106175.71275,105975.909,106828.405,SL,-1.0,0.07,-1.07,0,761,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
762,UNKNOWN,2025-06-09 10:15:00,2025-06-09,LIQUIDITY_SWEEP,Short,93.5254,93.5254,sweep_high;reclaim,83.0101,0.8394,4.468,0.2258,10,0,0,0.9128,6.9439,False,False,0.8838,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-09 10:30:00,2025-06-09 11:00:00,NEXT_BAR_OPEN_REALISTIC,107045.9,107313.51475,106818.4274625,106657.8586125,106457.14755,107313.51475,SL,-1.0,0.07,-1.07,2,765,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
872,UNKNOWN,2025-06-10 13:45:00,2025-06-10,LIQUIDITY_SWEEP,Long,87.7692,87.7692,sweep_low;reclaim,47.8255,0.3298,2.5717,0.6245,13,1,4,2.1479,1.3881,False,False,0.3926,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-10 14:00:00,2025-06-10 14:00:00,NEXT_BAR_OPEN_REALISTIC,109266.9,108993.73275,109499.0921625,109662.9925125,109867.86795,108993.73275,SL,-1.0,0.07,-1.07,0,873,False,False,False,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
962,UNKNOWN,2025-06-11 12:15:00,2025-06-11,LIQUIDITY_SWEEP,Long,89.3039,89.3039,sweep_low;reclaim,32.4545,-0.5711,1.1077,0.2499,12,2,3,2.4881,0.87,False,False,0.2591,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-11 12:30:00,2025-06-11 12:30:00,NEXT_BAR_OPEN_REALISTIC,109242.5,109310.776625,109474.640525,109638.504425,109843.3343,109843.3343,TP3,1.465,0.07,1.395,0,963,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
1063,UNKNOWN,2025-06-12 13:30:00,2025-06-12,LIQUIDITY_SWEEP,Long,90.5601,90.5601,sweep_low;reclaim,44.253,-1.5332,2.9751,0.5293,13,3,0,2.6657,1.4416,False,False,0.351,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS,2025-06-12 13:45:00,2025-06-12 14:30:00,NEXT_BAR_OPEN_REALISTIC,107077.7,107145.2625,107307.4125,107469.5625,107672.25,107672.25,TP3,1.465,0.07,1.395,3,1067,True,True,True,True,NEXT_BAR_OPEN__REAL_HL_TOUCH__CONSERVATIVE_INTRABAR__NO_MFE_REPLAY
