idx,symbol,datetime,date,setup_type,direction,score,rank_score,reasons,rsi,trend_strength,vol_z,body_pct,hour,dow,sweep_count_20,bsl_dist_atr,ssl_dist_atr,is_bsl_swept,is_ssl_swept,ob_remaining,selection_policy
291,UNKNOWN,2025-06-04 12:30:00,2025-06-04,LIQUIDITY_SWEEP,Long,83.2641,83.2641,sweep_low;reclaim,38.0128,-0.4468,1.2795,0.0218,12,2,2,4.9202,0.2367,False,False,0.0459,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
394,UNKNOWN,2025-06-05 14:15:00,2025-06-05,LIQUIDITY_SWEEP,Long,88.4147,88.4147,sweep_low;reclaim,43.2477,0.0825,3.7187,0.0167,14,3,1,4.85,0.2667,False,False,0.0521,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
483,UNKNOWN,2025-06-06 12:30:00,2025-06-06,LIQUIDITY_SWEEP,Short,94.8239,94.8239,sweep_high;reclaim,54.9163,1.931,2.156,0.1853,12,4,1,1.6218,3.2208,False,False,0.6651,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
530,UNKNOWN,2025-06-07 00:15:00,2025-06-07,LIQUIDITY_SWEEP,Long,88.5787,88.5787,sweep_low;reclaim,39.8614,0.5493,0.4855,0.2282,0,5,1,2.5841,0.6634,False,False,0.2043,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
680,UNKNOWN,2025-06-08 13:45:00,2025-06-08,LIQUIDITY_SWEEP,Short,98.5524,98.5524,sweep_high;reclaim,66.0401,0.2589,7.1283,0.353,13,6,1,1.2713,2.9146,False,False,0.6963,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
760,UNKNOWN,2025-06-09 09:45:00,2025-06-09,LIQUIDITY_SWEEP,Short,93.7044,93.7044,sweep_high;reclaim,83.499,0.4683,6.4497,0.029,9,0,0,0.1141,6.8819,False,False,0.9837,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
762,UNKNOWN,2025-06-09 10:15:00,2025-06-09,LIQUIDITY_SWEEP,Short,93.5254,93.5254,sweep_high;reclaim,83.0101,0.8394,4.468,0.2258,10,0,0,0.9128,6.9439,False,False,0.8838,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
872,UNKNOWN,2025-06-10 13:45:00,2025-06-10,LIQUIDITY_SWEEP,Long,87.7692,87.7692,sweep_low;reclaim,47.8255,0.3298,2.5717,0.6245,13,1,4,2.1479,1.3881,False,False,0.3926,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
962,UNKNOWN,2025-06-11 12:15:00,2025-06-11,LIQUIDITY_SWEEP,Long,89.3039,89.3039,sweep_low;reclaim,32.4545,-0.5711,1.1077,0.2499,12,2,3,2.4881,0.87,False,False,0.2591,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
1063,UNKNOWN,2025-06-12 13:30:00,2025-06-12,LIQUIDITY_SWEEP,Long,90.5601,90.5601,sweep_low;reclaim,44.253,-1.5332,2.9751,0.5293,13,3,0,2.6657,1.4416,False,False,0.351,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
1107,UNKNOWN,2025-06-13 00:30:00,2025-06-13,LIQUIDITY_SWEEP,Long,88.9637,88.9637,sweep_low;reclaim,23.9735,-1.5861,2.4441,0.1986,0,4,3,7.3646,0.6555,False,False,0.0817,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
1230,UNKNOWN,2025-06-14 07:15:00,2025-06-14,LIQUIDITY_SWEEP,Long,86.6916,86.6916,sweep_low;reclaim,33.8067,-0.6104,-0.2281,0.2238,7,5,2,4.9257,0.4523,False,False,0.0841,TOP1_PER_DAY_PLUS_TOP25_SECOND_SIGNALS
